CODIGO,ENTIDAD,NOMBRE FANTASIA,DIRECCION,COMUNA,HORARIO REFERENCIAL,ESTE,NORTE,LONGITUD,LATITUD
231,Walmart,LIDER EXPRESS ESTORIL,AV. LAS CONDES 10295,LAS CONDES,Lun-Dom 08:30 a 22:00,357322,6305062,-70.5339438756033,-33.384250004664
232,Walmart,LIDER EXPRESS M. MONTT,AV. MANUEL MONTT 80,PROVIDENCIA,Lun-Dom 08:30 a 22:00,349417,6299936,-70.6197662036586,-33.4293901179188
233,Walmart,LIDER EXPRESS TOBALABA,AV. LAS CAMELIAS 2875,PROVIDENCIA,Lun-Dom 08:30 a 22:00,351440,6300684,-70.5978918739228,-33.4229235911053
234,Walmart,LIDER EXPRESS LA DEHESA,AV. EL RODEO 12850,LO BARNECHEA,Lun-Dom 08:30 a 22:00,358495,6308551,-70.5207927126735,-33.352951786773
235,Walmart,LIDER EXPRESS APOQUINDO,AV. APOQUINDO 6060,LAS CONDES,Lun-Dom 08:30 a 22:00,354199,6302250,-70.5679730326251,-33.4091874626127
236,Walmart,LIDER EXPRESS IRARRÁZAVAL,AV. IRARRAZAVAL 2401,ÑUÑOA,Lun-Dom 08:30 a 22:00,350723,6297204,-70.6061770801876,-33.4542041239829
237,Walmart,LIDER EXPRESS LOS DOMINICOS,AV. LA PLAZA 590,LAS CONDES,Lun-Dom 08:30 a 22:00,360639,6304481,-70.498955,-33.390209
238,Walmart,LIDER EXPRESS PIEDRA ROJA,AV. CHICUREO S/N° SECTOR LAGUNA PIEDRA ROJA,COLINA,Lun-Dom 08:30 a 22:00,348316,6316784,-70.62877,-33.277328
239,Walmart,LIDER EXPRESS COLINA,CALLE LOS ALAMOS S/N LOTEO ESTANCIA DE LINRAY,COLINA,Lun-Dom 08:30 a 22:00,342929,6323318,-70.685467,-33.217646
240,Walmart,LIDER EXPRESS PEDRO FONTOVA,AV. PEDRO FONTOVA 7455,HUECHURABA,Lun-Dom 08:30 a 22:00,344583,6308466,-70.6702707188651,-33.3517902688916
241,Walmart,LIDER EXPRESS PROVIDENCIA SANTA ISABEL,AV. SANTA ISABEL 0168,PROVIDENCIA,Lun-Dom 08:30 a 22:00,348590,6297992,-70.628988552848,-33.4468024118991
242,Walmart,LIDER EXPRESS GRECIA,AV.GRECIA 245,ÑUÑOA,Lun-Dom 08:30 a 22:00,348778,6297035,-70.6271214907962,-33.4554512837419
243,Walmart,LIDER EXPRESS CONSISTORIAL,AV. EL CONSISTORIAL 3349,PEÑALOLEN,Lun-Dom 08:30 a 22:00,356069,6293544,-70.5492605909738,-33.4879386719393
245,Walmart,LIDER EXPRESS ROJAS MAGALLANES,AV. SANCHEZ FONTECILLA 8968,LA FLORIDA,Lun-Dom 08:30 a 22:00,355437,6294688,-70.556435,-33.477818
