Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Tipus_Vehicles,Desc_distintiu_ambiental,Nombre
2019,2,Eixample,6,la Sagrada Família,Camions,Etiqueta C – Verda,35
2019,2,Eixample,6,la Sagrada Família,Camions,No consta,2
2019,2,Eixample,6,la Sagrada Família,Altres vehicles,Sense distintiu ambiental,396
2019,2,Eixample,6,la Sagrada Família,Altres vehicles,Etiqueta B – Groga,28
2019,2,Eixample,6,la Sagrada Família,Altres vehicles,Etiqueta C – Verda,19
2019,2,Eixample,6,la Sagrada Família,Altres vehicles,Etiqueta E – Eco,1
2019,2,Eixample,6,la Sagrada Família,Altres vehicles,No consta,4
2019,2,Eixample,7,la Dreta de l'Eixample,Turismes,Sense distintiu ambiental,3644
2019,2,Eixample,7,la Dreta de l'Eixample,Turismes,Etiqueta 0 – Zero emissions – Blava,136
2019,2,Eixample,7,la Dreta de l'Eixample,Turismes,Etiqueta B – Groga,5407
2019,2,Eixample,7,la Dreta de l'Eixample,Turismes,Etiqueta C – Verda,6723
2019,2,Eixample,7,la Dreta de l'Eixample,Turismes,Etiqueta E – Eco,574
2019,2,Eixample,7,la Dreta de l'Eixample,Turismes,No consta,131
2019,2,Eixample,7,la Dreta de l'Eixample,Motos,Sense distintiu ambiental,2074
2019,2,Eixample,7,la Dreta de l'Eixample,Motos,Etiqueta 0 – Zero emissions – Blava,37
2019,2,Eixample,7,la Dreta de l'Eixample,Motos,Etiqueta B – Groga,987
2019,2,Eixample,7,la Dreta de l'Eixample,Motos,Etiqueta C – Verda,4995
2019,2,Eixample,7,la Dreta de l'Eixample,Motos,No consta,69
2019,2,Eixample,7,la Dreta de l'Eixample,Ciclomotors,Sense distintiu ambiental,599
2019,2,Eixample,7,la Dreta de l'Eixample,Ciclomotors,Etiqueta 0 – Zero emissions – Blava,14
2019,2,Eixample,7,la Dreta de l'Eixample,Ciclomotors,Etiqueta B – Groga,627
2019,2,Eixample,7,la Dreta de l'Eixample,Ciclomotors,Etiqueta C – Verda,49
2019,2,Eixample,7,la Dreta de l'Eixample,Ciclomotors,No consta,7
2019,2,Eixample,7,la Dreta de l'Eixample,Furgonetes,Sense distintiu ambiental,685
2019,2,Eixample,7,la Dreta de l'Eixample,Furgonetes,Etiqueta 0 – Zero emissions – Blava,11
2019,2,Eixample,7,la Dreta de l'Eixample,Furgonetes,Etiqueta B – Groga,768
2019,2,Eixample,7,la Dreta de l'Eixample,Furgonetes,Etiqueta C – Verda,257
2019,2,Eixample,7,la Dreta de l'Eixample,Furgonetes,Etiqueta E – Eco,14
2019,2,Eixample,7,la Dreta de l'Eixample,Furgonetes,No consta,13
2019,2,Eixample,7,la Dreta de l'Eixample,Camions,Sense distintiu ambiental,565
2019,2,Eixample,7,la Dreta de l'Eixample,Camions,Etiqueta 0 – Zero emissions – Blava,10
2019,2,Eixample,7,la Dreta de l'Eixample,Camions,Etiqueta B – Groga,388
2019,2,Eixample,7,la Dreta de l'Eixample,Camions,Etiqueta C – Verda,106
2019,2,Eixample,7,la Dreta de l'Eixample,Camions,Etiqueta E – Eco,2
2019,2,Eixample,7,la Dreta de l'Eixample,Camions,No consta,11
2019,2,Eixample,7,la Dreta de l'Eixample,Altres vehicles,Sense distintiu ambiental,960
2019,2,Eixample,7,la Dreta de l'Eixample,Altres vehicles,Etiqueta 0 – Zero emissions – Blava,6
2019,2,Eixample,7,la Dreta de l'Eixample,Altres vehicles,Etiqueta B – Groga,256
2019,2,Eixample,7,la Dreta de l'Eixample,Altres vehicles,Etiqueta C – Verda,221
2019,2,Eixample,7,la Dreta de l'Eixample,Altres vehicles,Etiqueta E – Eco,21
2019,2,Eixample,7,la Dreta de l'Eixample,Altres vehicles,No consta,33
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Turismes,Sense distintiu ambiental,2742
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Turismes,Etiqueta 0 – Zero emissions – Blava,63
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Turismes,Etiqueta B – Groga,4105
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Turismes,Etiqueta C – Verda,5207
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Turismes,Etiqueta E – Eco,428
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Turismes,No consta,80
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Motos,Sense distintiu ambiental,1770
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Motos,Etiqueta 0 – Zero emissions – Blava,29
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Motos,Etiqueta B – Groga,872
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Motos,Etiqueta C – Verda,4621
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Motos,No consta,56
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Ciclomotors,Sense distintiu ambiental,518
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Ciclomotors,Etiqueta 0 – Zero emissions – Blava,31
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Ciclomotors,Etiqueta B – Groga,579
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Ciclomotors,Etiqueta C – Verda,32
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Ciclomotors,No consta,7
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Furgonetes,Sense distintiu ambiental,396
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Furgonetes,Etiqueta 0 – Zero emissions – Blava,6
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Furgonetes,Etiqueta B – Groga,423
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Furgonetes,Etiqueta C – Verda,154
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Furgonetes,Etiqueta E – Eco,6
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Furgonetes,No consta,9
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Camions,Sense distintiu ambiental,211
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Camions,Etiqueta B – Groga,155
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Camions,Etiqueta C – Verda,35
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Camions,No consta,9
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Altres vehicles,Sense distintiu ambiental,269
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Altres vehicles,Etiqueta B – Groga,11
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Altres vehicles,Etiqueta C – Verda,6
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Altres vehicles,No consta,8
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Turismes,Sense distintiu ambiental,3500
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Turismes,Etiqueta 0 – Zero emissions – Blava,47
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Turismes,Etiqueta B – Groga,5853
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Turismes,Etiqueta C – Verda,7238
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Turismes,Etiqueta E – Eco,734
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Turismes,No consta,354
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Motos,Sense distintiu ambiental,1746
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Motos,Etiqueta 0 – Zero emissions – Blava,16
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Motos,Etiqueta B – Groga,1007
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Motos,Etiqueta C – Verda,5486
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Motos,No consta,68
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Ciclomotors,Sense distintiu ambiental,734
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Ciclomotors,Etiqueta 0 – Zero emissions – Blava,8
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Ciclomotors,Etiqueta B – Groga,737
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Ciclomotors,Etiqueta C – Verda,45
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Ciclomotors,No consta,7
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Furgonetes,Sense distintiu ambiental,463
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Furgonetes,Etiqueta 0 – Zero emissions – Blava,4
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Furgonetes,Etiqueta B – Groga,499
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Furgonetes,Etiqueta C – Verda,195
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Furgonetes,Etiqueta E – Eco,10
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Furgonetes,No consta,32
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Camions,Sense distintiu ambiental,187
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Camions,Etiqueta 0 – Zero emissions – Blava,1
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Camions,Etiqueta B – Groga,119
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Camions,Etiqueta C – Verda,19
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Camions,No consta,63
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Altres vehicles,Sense distintiu ambiental,327
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Altres vehicles,Etiqueta B – Groga,214
